attribute,level,level_code,coefficient,p_value,pp_effect,significance,abs_effect
Pricing,School pays (free for families),school_pays,0.7583417480661454,0.9986470248793597,18.958543701653635,n.s.,18.958543701653635
Pricing,Free trial + $12.99/month,pricing_12.99,-0.5869255335065829,0.9989528523257549,-14.673138337664573,n.s.,14.673138337664573
Storytelling,No story: Just design and test rockets in a sandbox-style game.,no_story,-0.28390005610983493,4.2202765402121756e-05,-7.097501402745873,***,7.097501402745873
Pricing,Free trial + $9.99/month,pricing_9.99,-0.2599200202404966,0.9995362704589537,-6.498000506012415,n.s.,6.498000506012415
Tutor,Male AI tutor,male_tutor,-0.17798569068822853,0.999799164656967,-4.449642267205713,n.s.,4.449642267205713
Tutor,Female AI tutor,female_tutor,0.17798569068822853,0.999799164656967,4.449642267205713,n.s.,4.449642267205713
Pricing,Free trial + $4.99/month,pricing_4.99,0.15648717403334378,0.9997208074701613,3.9121793508335942,n.s.,3.9121793508335942
Role_play,No specific role: Just design a rocket and see how it works.,no_specific_role,-0.15305859467287977,0.9998272918683113,-3.8264648668219943,n.s.,3.8264648668219943
Role_play,Hero astronaut: You are the astronaut in charge — the team is counting on you to complete this mission.,hero_astronaut,0.15305859467287944,0.9998272918683113,3.826464866821986,n.s.,3.826464866821986
Pricing,Free trial + $7.99/month,pricing_7.99,-0.06798336835240949,0.9998787092356471,-1.6995842088102373,n.s.,1.6995842088102373
Color_palette,Tech & bold (deep blue / black / neon),tech_colors,-0.03851862008687865,0.9999565363916256,-0.9629655021719662,n.s.,0.9629655021719662
Color_palette,Friendly & warm (coral / lavender / peach),friendly_colors,0.03851862008687865,0.9999565363916256,0.9629655021719662,n.s.,0.9629655021719662
Message_success_,Great job — your effort and persistence helped you solve this!,growth_message,0.00472293553494939,0.9999946707379417,0.11807338837373474,n.s.,0.11807338837373474
Message_success_,You solved it so quickly — you must have a really special talent for science!,brilliance_message,-0.00472293553494939,0.9999946707379417,-0.11807338837373474,n.s.,0.11807338837373474
Message_failure_,"That didn't work, but mistakes are how scientists learn. Let's try another design.",supportive_message,0.0,1.0,0.0,n.s.,0.0
Message_failure_,This design didn't launch successfully. Here is what went wrong.,neutral_message,0.0,1.0,0.0,n.s.,0.0
Storytelling,"Space rescue story: ""Your spaceship must deliver medicine to astronauts stranded on the Moon before their oxygen runs out.""",space_rescue_story,0.0,1.0,0.0,n.s.,0.0
